


1,,Mario Kart,,Nintendo,Nintendo,N/A,N/A,N/A,173.41m,N/A,N/A,N/A,N/A,01st Sep 92,20th Feb 20
2,,Need for Speed,,Electronic Arts,EA Black Box,N/A,N/A,N/A,150.00m,N/A,N/A,N/A,N/A,31st Aug 94,24th Feb 20
3,,Gran Turismo,,Sony Interactive Entertainment,Polyphony Digital,N/A,N/A,N/A,90.00m,N/A,N/A,N/A,N/A,12th May 98,05th Feb 20
4,,Mario Kart 8 Deluxe,,Nintendo,Nintendo EPD,N/A,9.3,N/A,52.00m,N/A,N/A,N/A,N/A,28th Apr 17,19th Nov 18
5,,Mario Kart Wii    Read the review,,Nintendo,Nintendo EAD,8.7,8.2,9.1,37.38m,N/A,N/A,N/A,N/A,27th Apr 08,11th Apr 18
6,,Mario Kart DS,,Nintendo,Nintendo EAD,N/A,9.1,9.4,23.60m,N/A,N/A,N/A,N/A,14th Nov 05,N/A
7,,Driver,,GT Interactive,Ubisoft Reflections,N/A,N/A,N/A,19.00m,N/A,N/A,N/A,N/A,30th Jun 99,09th Feb 20
8,,Mario Kart 7    Read the review,,Nintendo,Nintendo EAD / Retro Studios,9.0,8.2,N/A,18.97m,N/A,N/A,N/A,N/A,04th Dec 11,N/A
9,,Midnight Club,,Rockstar Games,Rockstar San Diego,N/A,N/A,N/A,18.50m,N/A,N/A,N/A,N/A,26th Oct 00,15th Feb 20
10,,Need for Speed: Most Wanted,,Electronic Arts,EA Canada,N/A,N/A,N/A,17.80m,N/A,N/A,N/A,N/A,15th Nov 05,20th Oct 20
11,,Need for Speed: Carbon,,Electronic Arts,EA Canada,N/A,N/A,N/A,15.60m,N/A,N/A,N/A,N/A,30th Oct 06,30th Aug 21
12,,Burnout,,EA Sports,Criterion Games,N/A,N/A,N/A,15.00m,N/A,N/A,N/A,N/A,01st Nov 01,23rd Feb 20
13,,Need for Speed: Underground,,Electronic Arts,EA Black Box,N/A,N/A,N/A,15.00m,N/A,N/A,N/A,N/A,17th Nov 03,20th Oct 20
14,,Gran Turismo 3: A-Spec,,Sony Computer Entertainment,Polyphony Digital,N/A,9.3,N/A,14.89m,N/A,N/A,N/A,N/A,09th Jul 01,N/A
15,,Assetto Corsa,,Kunos Simulazioni,Kunos Simulazioni,N/A,N/A,N/A,12.00m,N/A,N/A,N/A,N/A,19th Dec 14,31st May 21
16,,Gran Turismo 5    Read the review,,Sony Computer Entertainment,Polyphony Digital,8.8,8.3,N/A,11.95m,N/A,N/A,N/A,N/A,24th Nov 10,N/A
17,,Gran Turismo 4,,Sony Computer Entertainment,Polyphony Digital,N/A,8.7,N/A,11.76m,N/A,N/A,N/A,N/A,22nd Feb 05,N/A
18,,Need for Speed: Underground 2,,Electronic Arts,EA Black Box,N/A,N/A,N/A,11.00m,N/A,N/A,N/A,N/A,09th Nov 04,20th Oct 20
19,,Need for Speed: ProStreet,,Electronic Arts,EA Black Box,N/A,N/A,N/A,10.90m,N/A,N/A,N/A,N/A,14th Nov 07,20th Oct 20
20,,Gran Turismo,,Sony Computer Entertainment,Polyphony Digital,N/A,9.5,N/A,10.85m,N/A,N/A,N/A,N/A,30th Apr 98,N/A
21,,MX vs. ATV,,THQ Nordic,Rainbow Studios,N/A,N/A,N/A,10.00m,N/A,N/A,N/A,N/A,05th Feb 01,26th Apr 20
22,,Mario Kart 64,,Nintendo,Nintendo EAD,N/A,8.5,N/A,9.87m,N/A,N/A,N/A,N/A,10th Feb 97,N/A
23,,Gran Turismo 2,,Sony Computer Entertainment,Polyphony Digital,N/A,9.2,N/A,9.37m,N/A,N/A,N/A,N/A,17th Jan 99,N/A
24,,Need for Speed: Undercover,,Electronic Arts,EA Black Box,N/A,N/A,N/A,8.90m,N/A,N/A,N/A,N/A,18th Nov 08,20th Oct 20
25,,Super Mario Kart,,Nintendo,Nintendo EAD,N/A,10.0,N/A,8.76m,N/A,N/A,N/A,N/A,01st Sep 92,N/A
26,,Mario Kart 8    Read the review,,Nintendo,Nintendo,8.4,8.8,N/A,8.46m,N/A,N/A,N/A,N/A,30th May 14,02nd Aug 20
27,,Cars,,THQ,Rainbow Studios,N/A,N/A,N/A,8.00m,N/A,N/A,N/A,N/A,06th Jun 06,27th Feb 21
28,,Moto Racer,,Electronic Arts,SK Software International,N/A,N/A,N/A,8.00m,N/A,N/A,N/A,N/A,03rd Sep 97,15th Feb 20
29,,Need for Speed Underground,,Electronic Arts,EA Black Box,N/A,8.6,N/A,N/A,7.20m,2.83m,0.08m,1.02m,17th Nov 03,N/A
30,,DiRT,,Codemasters,Codemasters,N/A,N/A,N/A,7.00m,N/A,N/A,N/A,N/A,19th Jun 07,26th Jan 21
31,,Project Gotham Racing,,Sega,Bizarre Creations,N/A,N/A,N/A,7.00m,N/A,N/A,N/A,N/A,15th Jan 01,14th Feb 20
32,,Need for Speed Underground 2,,Electronic Arts,EA Black Box,N/A,8.3,N/A,N/A,6.90m,3.02m,0.08m,1.09m,15th Nov 04,N/A
33,,Mario Kart: Double Dash!!,,Nintendo,Nintendo EAD,N/A,8.5,N/A,6.88m,N/A,N/A,N/A,N/A,17th Nov 03,N/A
34,,Diddy Kong Racing,,Nintendo,Rare Ltd.,N/A,N/A,N/A,6.47m,N/A,N/A,N/A,N/A,24th Nov 97,22nd Feb 20
35,,MotorStorm,,Sony Interactive Entertainment,Evolution Studios,N/A,N/A,N/A,6.00m,N/A,N/A,N/A,N/A,06th Mar 07,27th Mar 20
36,,Project Gotham Racing,,Microsoft,Bizarre Creations,N/A,8.4,N/A,6.00m,N/A,N/A,N/A,N/A,14th Nov 01,N/A
37,,Mario Kart: Super Circuit,,Nintendo,Intelligent Systems,N/A,9.3,N/A,5.91m,N/A,N/A,N/A,N/A,26th Aug 01,N/A
38,,Forza Motorsport 3,,Microsoft Game Studios,Turn 10 Studios,N/A,9.2,9.8,N/A,5.50m,1.90m,0.10m,0.51m,27th Oct 09,N/A
39,,Gran Turismo 5 Prologue    Read the review,,Sony Computer Entertainment,Polyphony Digital,8.4,8.3,N/A,5.35m,N/A,N/A,N/A,N/A,15th Apr 08,N/A
40,,Gran Turismo 6,,Sony Computer Entertainment America,Polyphony Digital,N/A,N/A,N/A,5.22m,N/A,N/A,N/A,N/A,06th Dec 13,18th Apr 18
41,,Ridge Racer,,Namco,Namco,N/A,N/A,N/A,5.13m,N/A,N/A,N/A,N/A,01st Dec 93,02nd Mar 21
42,,F-Zero,,Nintendo,Nintendo,N/A,N/A,N/A,5.00m,N/A,N/A,N/A,N/A,23rd Aug 91,21st Apr 21
43,,Need for Speed: Hot Pursuit (2010),,Electronic Arts,Criterion Games,N/A,N/A,N/A,5.00m,N/A,N/A,N/A,N/A,16th Nov 10,20th Oct 20
44,,Diddy Kong Racing,,Nintendo,Rare Ltd.,N/A,8.3,N/A,4.88m,N/A,N/A,N/A,N/A,24th Nov 97,N/A
45,,Crash Team Racing,,Sony Computer Entertainment,Naughty Dog,N/A,9.2,N/A,N/A,4.79m,1.57m,0.44m,0.21m,30th Sep 99,N/A
46,,The Simpsons: Hit & Run,,VU Games,Radical Entertainment,N/A,7.7,N/A,N/A,4.70m,2.19m,N/A,0.79m,16th Sep 03,N/A
47,,Gran Turismo    Read the review,,Sony Computer Entertainment,Polyphony Digital,7.5,7.7,9.5,4.67m,N/A,N/A,N/A,N/A,01st Oct 09,N/A
48,,Forza Motorsport 4    Read the review,,Microsoft Studios,Turn 10 Studio,9.0,9.1,N/A,N/A,4.60m,1.98m,0.06m,0.49m,11th Oct 11,N/A
49,,Need for Speed: Most Wanted,,Electronic Arts,EA Canada,N/A,8.6,N/A,N/A,4.37m,1.79m,0.08m,0.47m,15th Nov 05,N/A
50,,Excitebike,,Nintendo,Nintendo R&D1,N/A,N/A,N/A,4.16m,N/A,N/A,N/A,N/A,18th Oct 85,N/A
51,,Forza Motorsport 2,,Microsoft Game Studios,Turn 10 Studios,N/A,9.1,N/A,N/A,4.05m,1.27m,0.03m,0.41m,29th May 07,N/A
52,,Need for Speed Rivals,,Electronic Arts,Ghost Games,N/A,N/A,N/A,4.00m,N/A,N/A,N/A,N/A,15th Nov 13,20th Oct 20
53,,Need for Speed: Shift,,Electronic Arts,Slightly Mad Studios,N/A,N/A,N/A,4.00m,N/A,N/A,N/A,N/A,15th Sep 09,15th Oct 20
54,,Gran Turismo Sport,,Sony Interactive Entertainment,Polyphony Digital,N/A,N/A,N/A,N/A,3.77m,2.35m,0.24m,0.54m,17th Oct 17,13th Jan 18
55,,Midnight Club 3: DUB Edition,,Rockstar Games,Rockstar Leeds,N/A,7.2,N/A,N/A,3.66m,1.22m,N/A,0.79m,27th Jun 05,N/A
56,,The Simpsons: Road Rage,,Electronic Arts,Radical Entertainment,N/A,6.1,N/A,N/A,3.61m,1.17m,N/A,0.42m,24th Nov 01,N/A
57,,F-1 Race,,Nintendo,Nintendo,N/A,N/A,N/A,3.41m,N/A,N/A,N/A,N/A,01st Feb 91,N/A
58,,Gran Turismo (PSP),,Sony Computer Entertainment,Polyphony Digital,N/A,N/A,N/A,N/A,3.27m,1.59m,0.31m,0.86m,01st Oct 09,03rd Jan 18
59,,Need for Speed III: Hot Pursuit,,Electronic Arts,EA Canada,N/A,N/A,N/A,N/A,3.12m,0.86m,N/A,0.13m,25th Mar 98,N/A
60,,Star Wars Episode I Racer,,LucasArts,LucasArts,N/A,8.7,N/A,3.12m,N/A,N/A,N/A,N/A,19th May 99,N/A
61,,MotorStorm    Read the review,,Sony Computer Entertainment,Evolution Studios,8.5,8.2,N/A,3.00m,N/A,N/A,N/A,N/A,06th Mar 07,N/A
62,,Rally Championship,,Electronic Arts,Red Rat Software,N/A,N/A,N/A,3.00m,N/A,N/A,N/A,N/A,31st Jan 00,28th Feb 20
63,,Wave Race 64,,Nintendo,Nintendo EAD,N/A,9.2,N/A,2.94m,N/A,N/A,N/A,N/A,05th Nov 96,N/A
64,,Colin McRae Rally,,Sony Computer Entertainment,Codemasters,N/A,7.9,N/A,N/A,2.87m,2.43m,0.12m,0.22m,31st Jan 00,N/A
65,,F-Zero,,Nintendo,Nintendo EAD,N/A,N/A,N/A,2.85m,N/A,N/A,N/A,N/A,13th Aug 91,N/A
66,,Gran Turismo (PSP),,Sony Computer Entertainment,Polyphony Digital,N/A,7.8,N/A,N/A,2.82m,0.91m,0.31m,1.16m,01st Oct 09,N/A
67,,Need for Speed: Hot Pursuit    Read the review,,Electronic Arts,Criterion Games,8.3,8.9,N/A,N/A,2.81m,1.24m,0.03m,0.49m,16th Nov 10,N/A
68,,Need for Speed: Most Wanted (2012),,Electronic Arts,Criterion Games,N/A,N/A,N/A,N/A,2.74m,1.52m,0.06m,0.45m,30th Oct 12,19th Dec 18
69,,Need for Speed (2015),,Electronic Arts,Ghost Games,N/A,7.0,N/A,N/A,2.72m,1.66m,0.06m,0.41m,03rd Nov 15,03rd Apr 18
70,,Burnout 3: Takedown,,Electronic Arts,Criterion Games,N/A,9.3,N/A,N/A,2.68m,1.11m,N/A,0.34m,07th Sep 04,N/A
71,,Need for Speed: Shift    Read the review,,Electronic Arts,Slightly Mad Studios,8.6,8.2,N/A,N/A,2.65m,1.40m,0.04m,0.52m,15th Sep 09,N/A
72,,Midnight Club: Street Racing,,Rockstar Games,Angel Studios,N/A,N/A,N/A,N/A,2.63m,0.47m,0.02m,0.14m,25th Oct 00,N/A
73,,Crazy Taxi,,Acclaim Entertainment,Hitmaker,N/A,8.2,N/A,N/A,2.52m,1.12m,0.06m,0.22m,14th May 01,N/A
74,,Midnight Club: Los Angeles,,Rockstar Games,Rockstar San Diego,N/A,8.3,N/A,N/A,2.50m,0.54m,0.05m,0.33m,20th Oct 08,N/A
75,,Forza Horizon 3    Read the review,,Microsoft Studios,Playground Games,N/A,9.0,N/A,2.50m,N/A,N/A,N/A,N/A,27th Sep 16,13th Jan 18
76,,Pure,,Disney Interactive Studios,Black Rock Studio,N/A,8.3,N/A,N/A,2.47m,0.84m,0.00m,0.25m,16th Sep 08,N/A
77,,Twisted Metal 2,,Sony Computer Entertainment,SingleTrac,N/A,8.7,N/A,N/A,2.44m,0.25m,N/A,0.07m,31st Oct 96,N/A
78,,Sonic & Sega All-Stars Racing,,Sega,Sumo Digital,N/A,N/A,N/A,2.43m,N/A,N/A,N/A,N/A,23rd Feb 10,13th Nov 20
79,,Need for Speed Carbon: Own the City,,Electronic Arts,EA Black Box,N/A,7.4,N/A,N/A,2.42m,0.97m,N/A,0.58m,31st Oct 06,N/A
80,,ATV Offroad Fury,,Sony Computer Entertainment,Rainbow Studios,N/A,8.4,N/A,N/A,2.41m,0.26m,N/A,0.08m,05th Feb 01,N/A
