


1,,The Sims,,Electronic Arts,Maxis,N/A,N/A,N/A,200.00m,N/A,N/A,N/A,N/A,04th Feb 00,18th Feb 20
2,,Animal Crossing,,Nintendo,Nintendo,N/A,N/A,N/A,76.46m,N/A,N/A,N/A,N/A,16th Sep 02,20th Feb 20
3,,Animal Crossing: New Horizons    Read the review,,Nintendo,Nintendo,8.0,N/A,N/A,41.59m,N/A,N/A,N/A,N/A,20th Mar 20,11th Apr 20
4,,Football Manager,,Sega,Sports Interactive,N/A,N/A,N/A,33.33m,N/A,N/A,N/A,N/A,05th Nov 04,07th Feb 20
5,,Nintendogs,,Nintendo,Nintendo,N/A,N/A,N/A,28.64m,N/A,N/A,N/A,N/A,22nd Aug 05,20th Feb 20
6,,Farming Simulator,,Astragon,Giants Software,N/A,N/A,N/A,28.00m,N/A,N/A,N/A,N/A,14th Apr 08,03rd Mar 20
7,,Petz,,PF.Magic,PF Magic,N/A,N/A,N/A,24.00m,N/A,N/A,N/A,N/A,01st Jan 95,10th Feb 20
8,,Nintendogs,,Nintendo,Nintendo EAD,N/A,8.4,N/A,23.96m,N/A,N/A,N/A,N/A,23rd Aug 05,N/A
9,,Microsoft Flight Simulator,,Microsoft,Sublogic,N/A,N/A,N/A,22.20m,N/A,N/A,N/A,N/A,01st Nov 82,06th Oct 22
10,,Imagine,,Ubisoft,Ubisoft,N/A,N/A,N/A,21.00m,N/A,N/A,N/A,N/A,01st Oct 07,10th Feb 20
11,,SimCity,,Maxis,Maxis,N/A,N/A,N/A,20.00m,N/A,N/A,N/A,N/A,02nd Feb 89,17th Feb 20
12,,Stardew Valley,,ConcernedApe,ConcernedApe,N/A,N/A,N/A,20.00m,N/A,N/A,N/A,N/A,26th Feb 16,28th Dec 20
13,,Stardew Valley,,Chucklefish,ConcernedApe,N/A,N/A,N/A,20.00m,N/A,N/A,N/A,N/A,26th Feb 16,12th Feb 20
14,,Ace Combat,,Namco,Namco,N/A,N/A,N/A,18.00m,N/A,N/A,N/A,N/A,09th Sep 95,11th Mar 20
15,,RollerCoaster Tycoon,,Hasbro Interactive,Chris Sawyer Productions,N/A,N/A,N/A,17.23m,N/A,N/A,N/A,N/A,22nd Mar 99,11th Mar 20
16,,The Sims,,Electronic Arts,Maxis,N/A,N/A,N/A,16.00m,N/A,N/A,N/A,N/A,04th Feb 00,18th Oct 20
17,,Theme Park,,Bullfrog Productions,Bullfrog Productions,N/A,N/A,N/A,15.00m,N/A,N/A,N/A,N/A,01st Jun 94,26th Sep 22
18,,Animal Crossing: New Leaf    Read the review,,Nintendo,Nintendo EAD,9.0,8.6,N/A,13.02m,N/A,N/A,N/A,N/A,09th Jun 13,02nd Jan 18
19,,Stardew Valley,,Chucklefish,ConcernedApe,N/A,9.2,N/A,13.00m,N/A,N/A,N/A,N/A,26th Feb 16,21st Mar 18
20,,Cities: Skylines,,Paradox Interactive,Colossal Order,N/A,N/A,N/A,12.00m,N/A,N/A,N/A,N/A,10th Mar 15,27th Jan 21
21,,Cooking Mama,,Majesco Entertainment,Cooking Mama Limited,N/A,N/A,N/A,12.00m,N/A,N/A,N/A,N/A,12th Sep 06,22nd Feb 20
22,,Animal Crossing: Wild World,,Nintendo,Nintendo EAD,N/A,8.5,N/A,11.75m,N/A,N/A,N/A,N/A,05th Dec 05,N/A
23,,Tomodachi,,Nintendo,Nintendo,N/A,N/A,N/A,10.47m,N/A,N/A,N/A,N/A,06th Jun 14,19th Feb 20
24,,The Sims 3,,Electronic Arts,Maxis,N/A,N/A,N/A,10.00m,N/A,N/A,N/A,N/A,02nd Jun 09,18th Oct 20
25,,The Sims 3    Read the review,,Electronic Arts,EA Redwood Shores,8.8,8.5,N/A,N/A,7.96m,6.46m,N/A,0.50m,02nd Jun 09,N/A
26,,The Forest,,Endnight Games Ltd,Endnight Games Ltd,N/A,N/A,N/A,7.30m,N/A,N/A,N/A,N/A,30th Apr 18,27th Feb 23
27,,Tomodachi Life,,Nintendo,Nintendo,N/A,7.8,N/A,6.71m,N/A,N/A,N/A,N/A,06th Jun 14,05th Jan 18
28,,Elite,,Imagineer,David Braben,N/A,N/A,N/A,6.40m,N/A,N/A,N/A,N/A,20th Sep 84,19th Jan 21
29,,Pokémon Snap,,Nintendo,HAL Laboratory,N/A,N/A,N/A,6.03m,N/A,N/A,N/A,N/A,30th Jun 99,05th Aug 21
30,,Championship Manager,,Domark Software,Intelek,N/A,N/A,N/A,6.00m,N/A,N/A,N/A,N/A,01st Sep 92,12th Feb 20
31,,Euro Truck Simulator 2,,SCS Software,SCS Software,N/A,8.5,N/A,5.98m,N/A,N/A,N/A,N/A,16th Jan 13,31st Dec 17
32,,Style Savvy,,Nintendo,syn Sophia,N/A,N/A,N/A,5.83m,N/A,N/A,N/A,N/A,02nd Nov 09,10th May 22
33,,Anno,,GT Interactive,Max Design,N/A,N/A,N/A,5.70m,N/A,N/A,N/A,N/A,01st Feb 00,12th May 21
34,,Cooking Mama,,Majesco,Office Create,N/A,6.6,N/A,N/A,5.66m,1.92m,0.07m,0.58m,12th Sep 06,N/A
35,,Slime Rancher,,Monomi Park,Monomi Park,N/A,N/A,N/A,5.30m,N/A,N/A,N/A,N/A,01st Aug 17,23rd Sep 22
36,,The Forest,,Endnight Games Ltd,Endnight Games Ltd,N/A,N/A,N/A,5.30m,N/A,N/A,N/A,N/A,30th May 14,27th Feb 23
37,,Microsoft Flight Simulator,,Microsoft,Microsoft,N/A,7.0,N/A,N/A,5.12m,1.69m,N/A,0.20m,31st Oct 96,N/A
38,,Cities: Skylines,,Paradox Interactive,Colossal Order,N/A,N/A,N/A,5.00m,N/A,N/A,N/A,N/A,10th Mar 15,14th Jan 18
39,,Kerbal Space Program,,Private Division,Squad,N/A,N/A,N/A,5.00m,N/A,N/A,N/A,N/A,27th Apr 15,10th Jan 21
40,,Kerbal Space Program,,Private Division,Squad,N/A,N/A,N/A,5.00m,N/A,N/A,N/A,N/A,27th Apr 15,06th Feb 20
41,,SimCity 3000,,Electronic Arts,Maxis,N/A,8.5,N/A,5.00m,N/A,N/A,N/A,N/A,15th Mar 98,N/A
42,,Slime Rancher,,Monomi Park,Monomi Park,N/A,N/A,N/A,5.00m,N/A,N/A,N/A,N/A,01st Aug 17,15th Jan 22
43,,The Long Dark,,Hinterland Studio Inc.,Hinterland Studio Inc.,N/A,N/A,N/A,5.00m,N/A,N/A,N/A,N/A,01st Aug 17,18th Feb 21
44,,Nintendogs + cats    Read the review,,Nintendo,Nintendo EAD,7.7,7.2,N/A,4.68m,N/A,N/A,N/A,N/A,27th Mar 11,N/A
45,,Animal Crossing: City Folk    Read the review,,Nintendo,Nintendo EAD,6.8,7.1,8.8,4.32m,N/A,N/A,N/A,N/A,16th Nov 08,N/A
46,,The Sims 4    Read the review,,Electronic Arts,Maxis,5.8,7.0,N/A,N/A,4.10m,2.60m,N/A,0.30m,02nd Sep 14,29th Dec 17
47,,Ace Combat 7: Skies Unknown,,Bandai Namco Entertainment,Bandai Namco Studios,N/A,N/A,N/A,4.00m,N/A,N/A,N/A,N/A,18th Jan 19,03rd Dec 20
48,,The Sims: Unleashed,,Electronic Arts,Maxis,N/A,7.3,N/A,N/A,3.76m,1.56m,N/A,0.17m,23rd Sep 02,N/A
49,,MySims,,Electronic Arts,EA Redwood Shores,N/A,6.7,N/A,N/A,3.66m,1.60m,0.08m,0.40m,18th Sep 07,N/A
50,,Pokémon Snap,,Nintendo,HAL Laboratory,N/A,7.9,N/A,3.63m,N/A,N/A,N/A,N/A,30th Jun 99,20th Apr 18
51,,Cooking Mama 2: Dinner With Friends,,Majesco,Office Create,N/A,6.9,N/A,N/A,3.58m,1.49m,0.10m,0.39m,13th Nov 07,N/A
52,,Animal Crossing: Happy Home Designer,,Nintendo,Nintendo EAD,N/A,6.6,N/A,3.51m,N/A,N/A,N/A,N/A,25th Sep 15,14th Jan 18
53,,Elite Dangerous,,Frontier Developments,Frontier Developments,N/A,N/A,N/A,3.50m,N/A,N/A,N/A,N/A,16th Dec 14,19th Jan 21
