


1,,FIFA,,EA Sports,Extended Play Productions (1991-1997),N/A,N/A,N/A,325.00m,N/A,N/A,N/A,N/A,15th Dec 93,03rd Feb 20
2,,Madden NFL,,Electronic Arts,Park Place Productions,N/A,N/A,N/A,130.00m,N/A,N/A,N/A,N/A,01st Jun 88,25th Feb 20
3,,NBA 2K,,2K Games,Visual Concepts,N/A,N/A,N/A,130.00m,N/A,N/A,N/A,N/A,10th Nov 99,16th Feb 20
4,,Wii/Nintendo Sports,,Nintendo,Nintendo,N/A,N/A,N/A,124.65m,N/A,N/A,N/A,N/A,19th Nov 06,07th Feb 23
5,,Pro Evolution Soccer/eFootball,,Konami,Konami,N/A,N/A,N/A,112.50m,N/A,N/A,N/A,N/A,22nd Dec 95,07th Feb 22
6,,Wii Sports,,Nintendo,Nintendo EAD,N/A,7.7,N/A,82.90m,N/A,N/A,N/A,N/A,19th Nov 06,N/A
7,,NBA Live,,EA Sports,EA Canada,N/A,N/A,N/A,35.00m,N/A,N/A,N/A,N/A,01st Oct 94,24th Feb 20
8,,Wii Sports Resort    Read the review,,Nintendo,Nintendo EAD,8.8,8.0,8.8,33.14m,N/A,N/A,N/A,N/A,26th Jul 09,N/A
9,,Tony Hawk's,,Activision,Neversoft,N/A,N/A,N/A,31.12m,N/A,N/A,N/A,N/A,29th Sep 99,09th Mar 20
10,,Mario & Sonic at the Olympic Games,,Sega,Sega,N/A,N/A,N/A,30.00m,N/A,N/A,N/A,N/A,06th Nov 07,11th Mar 20
11,,FIFA 18,,Electronic Arts,EA Vancouver,N/A,N/A,N/A,26.40m,N/A,N/A,N/A,N/A,26th Sep 17,15th Oct 20
12,,Tiger Woods PGA Tour,,EA Sports,EA Redwood Shores,N/A,N/A,N/A,25.00m,N/A,N/A,N/A,N/A,31st Aug 98,24th Feb 20
13,,Jikkyo Powerful Pro Yakyu,,Konami,Konami,N/A,N/A,N/A,24.40m,N/A,N/A,N/A,N/A,11th Mar 94,26th Feb 20
14,,Wii Fit    Read the review,,Nintendo,Nintendo EAD,8.0,7.9,N/A,22.67m,N/A,N/A,N/A,N/A,21st May 08,N/A
