


1,,NEKOPARA Vol. 1    Read the review,,Unknown,Neko Works,7.5,N/A,N/A,0.58m,N/A,N/A,N/A,N/A,N/A,08th Feb 19
2,,NEKOPARA Vol. 0,,Unknown,Neko Works,N/A,N/A,N/A,0.57m,N/A,N/A,N/A,N/A,N/A,09th Feb 19
3,,Doki Doki Literature Club Plus!,,Serenity Forge,Team Salvato,N/A,N/A,N/A,0.50m,N/A,N/A,N/A,N/A,30th Jun 21,20th Jul 21
4,,fault,,Sekai Project,ALICE IN DISSONANCE,N/A,N/A,N/A,0.50m,N/A,N/A,N/A,N/A,15th Dec 14,21st Sep 22
5,,Root Letter,,PQube,Kadokawa Games,N/A,N/A,N/A,0.50m,N/A,N/A,N/A,N/A,10th Nov 16,24th Apr 22
6,,Root Letter,,PQube,Kadokawa Games,N/A,N/A,N/A,0.40m,N/A,N/A,N/A,N/A,10th Nov 16,30th Jan 21
7,,NEKOPARA Vol. 2,,Unknown,Neko Works,N/A,N/A,N/A,0.32m,N/A,N/A,N/A,N/A,N/A,13th Feb 19
8,,Tricolour Lovestory,,Unknown,HL-Galgame,N/A,N/A,N/A,0.29m,N/A,N/A,N/A,N/A,N/A,15th Feb 19
9,,Hatoful Boyfriend,,Devolver Digital,Mediatonic Ltd.,N/A,N/A,N/A,0.28m,N/A,N/A,N/A,N/A,04th Sep 14,08th Aug 18
10,,NEKOPARA Vol. 3,,Unknown,Neko Works,N/A,N/A,N/A,0.22m,N/A,N/A,N/A,N/A,N/A,22nd Feb 19
11,,The Lords of the Earth Flame,,Unknown,"Rhino Games, Inc.",N/A,N/A,N/A,0.22m,N/A,N/A,N/A,N/A,N/A,23rd Feb 19
12,,Russian Horror Story,,Unknown,Footmade,N/A,N/A,N/A,0.20m,N/A,N/A,N/A,N/A,N/A,26th Feb 19
13,,Steins;Gate,,Kadokawa Shoten,Nitro+,N/A,N/A,N/A,N/A,0.19m,N/A,0.19m,N/A,23rd Jun 11,04th Jul 18
14,,Super Star,,Unknown,Dream Works,N/A,N/A,N/A,0.19m,N/A,N/A,N/A,N/A,N/A,01st Mar 19
15,,Wishmaster,,Unknown,Unknown,N/A,N/A,N/A,0.19m,N/A,N/A,N/A,N/A,N/A,01st Mar 19
16,,Steins;Gate,,Nitro+,Nitro+,N/A,N/A,N/A,0.16m,N/A,N/A,N/A,N/A,09th Sep 16,04th Jul 18
17,,Tears to Tiara II: Heir of the Overlord,,NIS America,Sting,N/A,N/A,N/A,N/A,0.15m,0.01m,0.06m,0.02m,14th Oct 14,06th Nov 18
18,,Psycho-Pass: Mandatory Happiness,,NIS America,5pb. Inc.,N/A,N/A,N/A,N/A,0.15m,0.02m,N/A,0.03m,13th Sep 16,03rd Jul 18
19,,Winter Novel,,DeXP,DeXP,N/A,N/A,N/A,0.14m,N/A,N/A,N/A,N/A,10th Aug 16,22nd Apr 19
20,,Go! Go! Nippon! ~My First Trip to Japan~,,MangaGamer,OVERDRIVE,N/A,N/A,N/A,0.13m,N/A,N/A,N/A,N/A,21st Feb 14,29th Mar 19
